"principi","des principes",8,"Dove sono i principi? Devono essere presenti!","Où sont les princes ? Ils doivent être présents !"
"rifugio","refuge",7,"Farete un viaggio al Rifugio di Banther.","Vous ferez un voyage à Banther's Retreat."
"amaya","amaya",5,"Zia Amaya?","Tante Amaya ?"
"quest","quête",4,"Sta a noi, ora. Dobbiamo restituire quest'uovo.","C'est à nous maintenant. Nous devons rendre cet œuf."
"credo","Je crois",4,"Credo di essermi distratto cercando di disegnare questa prima-palla.","Je pense que j'ai été distrait en essayant de dessiner cette première balle."
"cubo","cube",4,"C'era questo piccolo cubo e aveva questi simboli esatti.","Il y avait ce petit cube et il avait ces symboles exacts."
"zia","tante",4,"Zia Amaya?","Tante Amaya ?"
"ragazzi","les mecs",3,"Ragazzi!","Les gars !"
"banther","badinage",3,"Farete un viaggio al Rifugio di Banther.","Vous ferez un voyage à Banther's Retreat."
"sette","Sept",3,"È tradizione piangere i re caduti per sette tramonti.","Il est traditionnel de pleurer les rois déchus pendant sept couchers de soleil."
"primaria","primaire",3,"- Pietra primaria. - Giusto.","- Pierre primaire. - Droite."
"primarie","primaires",3,"Sai quali sono le sei fonti primarie?","Savez-vous quelles sont les six sources principales ?"
"già","déjà",3,"Aspetta, le ho già viste, in passato. Al Rifugio di Banther.","Attendez, je les ai déjà vus. Au Refuge de Banther."
"invernale","hiver",3,"No, è il rifugio invernale. È vuoto da mesi. Fidati di me.","Non, c'est l'abri d'hiver. Il est vide depuis des mois. Croyez-moi."
"sogno","rêver",3,"Ho fatto uno strano sogno.","J'ai fait un rêve étrange."
"mostri","monstres",3,"È così che ci considerano gli umani? Mostri assetati di sangue?","Est-ce ainsi que les humains nous voient ? Des monstres sanguinaires ?"
"storie","histoires",3,"Voglio dire, ho sentito delle storie. Ma sono sicuro che siano solo storie.","Je veux dire, j'ai entendu des histoires. Mais je suis sûr que ce ne sont que des histoires."
"salvi","sauvegarder",3,"Sono così felice che siate salvi.","Je suis tellement content que tu sois en sécurité."
"lettera","lettre",3,"Una lettera.","Une lettre."
"quattro","quatre",2,"Noi quattro.","Nous quatre."
"sete","la soif",2,"CAPITOLO 4 SETE DI SANGUE","CHAPITRE 4 SOIF DE SANG"
"dovrebbe","cela devrait",2,"E allora? Sto parlando al coso fioccoso. Perché dovrebbe esser peggio di parlare...","Donc? Je parle à la chose pelucheuse. Pourquoi serait-ce pire que de parler..."
"bevi","boire",2,"Bevi questo.","Buvez ça."
"forze","Force",2,"Assassinato da forze di Xadia,","Assassiné par les forces de Xadia,"
"chiamato","appelé",2,"Harrow mi ha chiamato...","Harrow m'a appelé..."
"forti","fort",2,"Dobbiamo proseguire restando forti!","Nous devons continuer à rester forts !"
"katolis","katolis",2,"Quando un sovrano di Katolis muore, lo piangiamo per sette giorni.","Lorsqu'un souverain de Katolis meurt, nous le pleurons pendant sept jours."
"fonti","sources",2,"Sai quali sono le sei fonti primarie?","Savez-vous quelles sont les six sources principales ?"
"dico","je dis",2,"Se dico di sì, me le farai nominare?","Si je dis oui, me laisserez-vous les nommer ?"
"tutta","toute",2,"Tutta la magia del mondo proviene dalle fonti primarie.","Toute la magie du monde provient de sources primaires."
"quell","que",2,"Perciò, quell'incantesimo di vento che hai fatto?","Alors, ce sort de vent que tu as fait ?"
"drago","dragon",2,"Far finire la guerra? Portare l'uovo di drago in Xadia?","Finir la guerre ? Apporter l'œuf de dragon à Xadia ?"
"provato","a tenté",2,"Quindi, quando ho provato quell'incantesimo,","Alors quand j'ai essayé ce sort,"
"funzionato","travaillé",2,"ma ha funzionato.","mais ça a marché."
"ippopotamo","hippopotame",2,"C'era questo ippopotamo rosa gigante","Il y avait cet hippopotame rose géant"
"toffee","caramel au beurre",2,"e gli hanno tirato via l'orecchio, perché era fatto di toffee.","et ils lui arrachèrent l'oreille, parce qu'elle était en caramel."
"andiamo","allons-y",2,"- Andiamo a prendere il tuo cubo. - Davvero?","- Allons chercher votre cube. - Pour de vrai?"
"beviamo","on boit",2,"Noi non beviamo... quello.","On ne boit pas... ça."
"vogliamo","nous voulons",2,"Non vogliamo offenderti, ma... puoi tenerlo.","Nous ne voulons pas vous offenser, mais... vous pouvez le garder."
"sentito","sens",2,"Voglio dire, ho sentito delle storie. Ma sono sicuro che siano solo storie.","Je veux dire, j'ai entendu des histoires. Mais je suis sûr que ce ne sont que des histoires."
"probabilmente","Probablement",2,"Sì, probabilmente non avremmo dovuto venire.","Oui, nous n'aurions probablement pas dû venir."
"tue","le tiens",2,"Non c'è nessuno tranne noi e tutte le tue truppe umane.","Il n'y a personne d'autre que nous et toutes vos troupes humaines."
"umane","Humain",2,"Non c'è nessuno tranne noi e tutte le tue truppe umane.","Il n'y a personne d'autre que nous et toutes vos troupes humaines."
""truppe",""troupes",2,"E perché hai detto "truppe umane" in quel modo?","Et pourquoi avez-vous dit "troupes humaines" comme ça ?"
"colazione","petit dejeuner",2,"Ho saltato la colazione.","J'ai sauté le petit-déjeuner."
"castello","Château",2,""Generale, il castello è minacciato.",""Général, le château est menacé."
"pupazzo","fantoche",2,""P.S. Una volta al sicuro potrebbero voler fare un pupazzo di terra".",""P.S. Une fois qu'ils seront en sécurité, ils voudront peut-être faire une marionnette de terre.""
"dovremmo","nous devrions",2,"- Forse dovremmo dirglielo, Callum. - Dirle cosa?","- On devrait peut-être lui dire, Callum. - Lui dire quoi ?"
"dirglielo","dit lui",2,"- Forse dovremmo dirglielo, Callum. - Dirle cosa?","- On devrait peut-être lui dire, Callum. - Lui dire quoi ?"
""abbiamo"",""nous avons"",2,""Abbiamo?". In quanti siete?",""Nous avons?". Combien êtes-vous?"
"pericolo","danger",2,"Se ce ne sono altri, i principi sono in pericolo. Tenetela d'occhio.","S'il y en a d'autres, les princes sont en danger. Gardez un œil sur elle."
"attenti","fais attention",2,"Attenti con quelle. Potreste perdere un dito.","Soyez prudent avec ceux-ci. Vous pourriez perdre un doigt."
"lumache","escargots",2,"- Più stramba dell'armatura per lumache? - Ez, le lumache già hanno un'armatura.","- Plus bizarre qu'une armure anti-limace ? - Ez, les limaces ont déjà une armure."
"elfa","elfe",2,"Fermati dove sei, elfa.","Arrête-toi où tu es, elfe."
"venite","viens",2,"Callum, Ezran, venite qui.","Callum, Ezran, venez ici."
"mostro","monstre",2,"Che sei un mostro.","Que tu es un monstre."
"vite","des vies",2,"prenderà le vite dei principi. Dobbiamo stare attenti.","il prendra la vie des princes. Nous devons être prudents."
"incoronazione","couronnement",2,"È quasi il momento padre. Dell'incoronazione.","Il est presque temps papa. Du sacre."
"corona","couronne",2,"O come mi piace chiamarla, l'ora della corona.","Ou comme j'aime l'appeler, l'heure corona."
"nostri","notre",2,"ma la perdita dei suoi figli, nostri principi,","mais la perte de ses fils, nos princes,"
