"pietra","Pierre",11,"Vedi questa? È una pietra primaria.","Regarde ça? C'est une pierre primaire."
"roccia","rocher",11,"Roccia, roccia, pietra, roccia, pietra, pietra. Roccia, pietra, roccia, pietra...","Roche, pierre, pierre, pierre, pierre, pierre. Pierre, pierre, pierre, pierre..."
"siamo","nous sommes",6,"Siamo tutti in pericolo perché ho lasciato andare quell'umano.","Nous sommes tous en danger parce que j'ai laissé partir cet humain."
"cose","Qu'est-ce que c'est ça",6,"Posso sistemare le cose.","Je peux arranger les choses."
"distrutto","détruit",5,"Hanno distrutto il suo solo uovo, il principe.","Ils ont détruit son seul œuf, le prince."
"quel","que",5,"CAPITOLO 2 QUEL CHE È FATTO","CHAPITRE 2 CE QUI EST FAIT"
"puoi","pouvez",5,"Ehi, puoi prestarmi la tua cosa per affilare?","Hey, tu peux me prêter ton truc à aiguiser ?"
"pensavo","Je pensais",4,"Pensavo tu potessi farlo, Rayla, ma avevo torto.","Je pensais que tu pouvais, Rayla, mais j'avais tort."
"farlo","pour le faire",4,"Pensavo tu potessi farlo, Rayla, ma avevo torto.","Je pensais que tu pouvais, Rayla, mais j'avais tort."
"posso","je peux",4,"Non hai torto. Posso farlo.","Tu n'as pas tort. Je peux le faire."
"può","peut",4,"Quel che è fatto non può essere disfatto.","Ce qui est fait ne peut être défait."
"libro","livre",3,"LIBRO 1 LUNA","LIVRE 1 LUNE"
"cinque","cinq",3,"Cinque di noi non basteranno. Avremo bisogno di tutti e sei.","Cinq d'entre nous ne suffiront pas. Nous aurons besoin des six."
"fra","compris entre",3,"Sei forse la più veloce e forte fra noi.","Vous êtes peut-être le plus rapide et le plus fort d'entre nous."
"sbagliato","trompé",3,"Ho sbagliato. Lo so.","J'ai eu tort. Je sais cela."
"claudia","Claudia",3,"Io e Claudia stiamo ancora cercando una...","Claudia et moi sommes toujours à la recherche d'un..."
"entrambi","les deux",3,"Cosa? Certo che siamo entrambi qui. Perché non dovremmo?","Qu'est-ce? Bien sûr, nous sommes tous les deux ici. Pourquoi ne devrions-nous pas?"
"uova","Oeuf",3,"Ieri ho mangiato due uova a colazione e stavo morendo di fame.","J'ai eu deux œufs au petit déjeuner hier et j'étais affamé."
"voglio","je veux",3,"So di non essere il tuo vero padre, ma voglio che tu sappia che...","Je sais que je ne suis pas ton vrai père, mais je veux que tu saches que..."
"aver","avoir",3,"Te la ridarò nel fine settimana, ok? Non dovrò aver bisogno di aprirla.","Je te le rendrai ce week-end, d'accord ? Je n'aurai pas besoin de l'ouvrir."
"questi","celles-ci",3,"Questi ha una dieta inusuale.","Il a un régime alimentaire inhabituel."
"spirito","esprit",3,"Il suo morso prosciuga e consuma lo spirito della sua preda!","Sa morsure draine et consume l'esprit de sa proie !"
"devo","Je dois",3,"Devo farlo.","Je dois le faire."
"ed","et",3,"Ed è giusto che facciate lo stesso?","Et est-il juste que vous fassiez de même ?"
"vattene","Sortez",3,"Vattene.","Sortir."
"vostra","le tiens",3,"Salverà la vostra vita e quella di molti altri.","Cela vous sauvera la vie et celle de beaucoup d'autres."
"alba","Lever du soleil",2,"Un esploratore li ha scoperti poco prima dell'alba.","Un explorateur les découvrit juste avant l'aube."
"guardato","regardé",2,"L'umano mi ha guardato e ho visto la paura nei suoi occhi.","L'humain m'a regardé et j'ai vu la peur dans ses yeux."
"saremo","nous serons",2,"Saremo più forti in cinque.","Nous serons plus forts dans cinq."
"tua","ton",2,"Ehi, puoi prestarmi la tua cosa per affilare?","Hey, tu peux me prêter ton truc à aiguiser ?"
"quella","que",2,"- Cote. - Sì, quella.","- Côté. - Oui ça."
"dispiace","désolé",2,"Ezran, mi dispiace.","Ezran, je suis désolé."
"dovuto","dû",2,"Non avrei dovuto dirlo.","Je n'aurais pas dû dire ça."
"idiota","espèce d'imbécile",2,"Dimmi che ho la faccia da idiota e farò la danza dell'idiota per te.","Dis-moi que j'ai l'air d'un idiot et je ferai la danse de l'idiot pour toi."
"farò","phare",2,"Dimmi che ho la faccia da idiota e farò la danza dell'idiota per te.","Dis-moi que j'ai l'air d'un idiot et je ferai la danse de l'idiot pour toi."
"danza","Danse",2,"Dimmi che ho la faccia da idiota e farò la danza dell'idiota per te.","Dis-moi que j'ai l'air d'un idiot et je ferai la danse de l'idiot pour toi."
"viaggio","voyage",2,"Ok, beh, prenderò qualche libro per il viaggio.","Bon, je vais prendre des livres pour le voyage."
"torto","injustice",2,"Pensavo tu potessi farlo, Rayla, ma avevo torto.","Je pensais que tu pouvais, Rayla, mais j'avais tort."
"serve","ça sert",2,"Ma serve più di questo.","Mais il faut plus que cela."
"cuore","cœur",2,"Il tuo cuore non è abbastanza duro per fare ciò che serve.","Votre cœur n'est pas assez dur pour faire ce qu'il faut."
"ciò","C'est",2,"Il tuo cuore non è abbastanza duro per fare ciò che serve.","Votre cœur n'est pas assez dur pour faire ce qu'il faut."
"devi","vous devez",2,"Per questo devi lasciarmi rimediare.","C'est pourquoi vous devez me laisser le réparer."
"sarai","vous serez",2,"Sarai rilasciata a fine missione. Il tuo ruolo, ora, è stare in disparte.","Vous serez libéré à la fin de la mission. Votre rôle est maintenant de rester à l'écart."
"sistemare","ranger",2,"Posso sistemare le cose.","Je peux arranger les choses."
"aspiro","j'aspire",2,"Aspiro.","J'aspire."
"adorabile","adorable",2,"- Era davvero adorabile. - Ridicola.","- Il était vraiment adorable. - Bête."
"detto","m'a dit",2,"- Per caso hai detto adorabile? - L'ho fatto?","Vous avez dit adorable par hasard ? - Je l'ai fait?"
"incredibile","incroyable",2,"È incredibile che tu possa fare cose del genere.","C'est incroyable que vous puissiez faire des choses comme ça."
"possa","peut",2,"È incredibile che tu possa fare cose del genere.","C'est incroyable que vous puissiez faire des choses comme ça."
"semplice","Facile",2,"No, è solo una semplice runa respiro del vento.","Non, c'est juste un simple souffle de la rune du vent."
"mangiato","a mangé",2,"No. L'ho mangiato a pranzo.","Non. Je l'ai mangé pour le déjeuner."
"guarda","voir",2,"- Guarda. - Wow!","- Voir. - Ouah!"
"wow","wow",2,"- Guarda. - Wow!","- Voir. - Ouah!"
"tempesta","tempête",2,"Una tempesta. Una tempesta vera.","Une tempête. Une vraie tempête."
"stati","États",2,"Mio re, non siamo stati in grado di trovare gli elfi.","Mon roi, nous n'avons pas pu trouver les elfes."
"sbagli","vous vous trompez",2,"Ho accettato il fatto che stanotte potrei dover pagare per i nostri sbagli.","J'ai accepté que ce soir je devrai peut-être payer pour nos erreurs."
"cercando","à la recherche de",2,"Io e Claudia stiamo ancora cercando una...","Claudia et moi sommes toujours à la recherche d'un..."
"quasi","presque",2,"Ezran, dobbiamo andare. È quasi il tramonto.","Ezran, nous devons y aller. C'est presque le coucher du soleil."
"stavo","j'étais",2,"Ieri ho mangiato due uova a colazione e stavo morendo di fame.","J'ai eu deux œufs au petit déjeuner hier et j'étais affamé."
"perciò","ainsi",2,"Oggi quattro e sono strapieno. Perciò domani...","Quatre aujourd'hui et je suis emballé. Alors demain..."
"guerra","guerre",2,"La guerra è piena d'incertezze.","La guerre est pleine d'incertitudes."
"accordo","une entente",2,"Tu non vuoi morire. Neppure elfi e draghi vogliono. Siete tutti d'accordo.","Vous ne voulez pas mourir. Même les elfes et les dragons ne veulent pas. Vous êtes tous d'accord."
"torti","torts",2,"Generazioni di torti e crimini.","Des générations de torts et de crimes."
"prezzo","prix",2,"Ma so che pagherò il prezzo delle scelte che ho fatto.","Mais je sais que je paierai le prix des choix que j'ai faits."
"scelte","les choix",2,"Ma so che pagherò il prezzo delle scelte che ho fatto.","Mais je sais que je paierai le prix des choix que j'ai faits."
"disfatto","défait",2,"Quel che è fatto non può essere disfatto.","Ce qui est fait ne peut être défait."
"punte","pointes",2,"Non sei chi pensavo. Sei una di quelli con le punte...","Tu n'es pas celui que je pensais. Faites-vous partie de ceux qui ont des pointes..."
"mie","ma",2,"Non ti piacciono le mie orecchie?","Vous n'aimez pas mes oreilles ?"
"sto","je suis",2,"Sto cercando una persona.","Je recherche une personne."
"dietro","derrière",2,"Hai guardato là dietro?","Avez-vous regardé là-bas?"
"unico","unique",2,"Gli umani hanno abbattuto il re dei draghi e distrutto il suo unico uovo,","Les humains ont tué le roi dragon et détruit son unique œuf,"
"trovato","trouvé",2,"Bene, mi hai trovato.","Eh bien, vous m'avez trouvé."
"troveranno","trouvera",2,"Vi troveranno e vi uccideranno.","Ils vous trouveront et vous tueront."
"serpente","serpent",2,"Nella sabbia nera del deserto Mezzanotte risiede un serpente misterioso,","Dans le sable noir du désert de minuit réside un mystérieux serpent,"
"nostro","notre",2,"Nel nostro ultimo viaggio in Xadia,","Lors de notre dernier voyage à Xadia,"
"corpo","corps",2,"Gli elfi dell'ombra della luna troveranno il corpo del re.","Les elfes de l'ombre de la lune trouveront le corps du roi."
"provocati","provoquez-vous",2,"Questa è giustizia. Ci avete attaccato senza esser provocati.","C'est la justice. Vous nous avez attaqués sans être provoqués."
"stessa","même",2,"Beh, no, non è la stessa cosa,","Et bien non, ce n'est pas la même chose,"
"dovrei","Je devrais",2,"Che? Perché dovrei? Perché non è un buon momento!","Que? Pourquoi devrais-je? Parce que ce n'est pas le bon moment !"
"gelatina","gelée",2,"Gelatina?","Gelée?"
"uomini","Hommes",2,"Duecento fra uomini e donne sono pronti a morire per proteggervi, stanotte,","Deux cents hommes et femmes sont prêts à mourir pour te protéger ce soir,"
"donne","femmes",2,"Duecento fra uomini e donne sono pronti a morire per proteggervi, stanotte,","Deux cents hommes et femmes sont prêts à mourir pour te protéger ce soir,"
"qual","lequel",2,"TI ho già detto qual è il problema. È magia oscura.","Je vous ai déjà dit quel est le problème. C'est de la magie noire."
"abbia","avoir",2,"Cosa credi abbia causato tutto ciò? La magia oscura!","Selon vous, qu'est-ce qui a causé tout cela? Magie noire!"
"state","rester",2,"State agendo in modo testardo e ingrato.","Vous agissez têtu et ingrat."
"ringraziarti","pour te remercier",2,"Ringraziarti per aver cominciato una guerra che non possiamo vincere?","Merci d'avoir déclenché une guerre que nous ne pouvons pas gagner ?"
"salvare","sauver",2,"per salvare la vostra.","pour sauver le vôtre."
"peggiorando","devenir pire",2,"- State solo peggiorando le cose. - Peggiorando come?","- Vous ne faites qu'empirer les choses. - Ça s'aggrave comment ?"
"pietre","des pierres",2,"Qual è la differenza tra rocce e pietre?","Quelle est la différence entre les rochers et les pierres ?"
"trucco","se réconcilier",2,"Non ricascherò nel trucco della rana abbagliante.","Je ne vais pas refaire le tour de la grenouille éblouissante."
